Sequence	Order	Species	BOLD	GenBank
34061	Lepidoptera	Etiella zinckenella	IMLR372-08	NA
34062	Lepidoptera	Etiella zinckenella	KMPND265-18	NA
34063	Lepidoptera	Etiella zinckenella	KMPQS004-19	NA
34064	Lepidoptera	Etiella zinckenella	KMPXG042-19	NA
34065	Lepidoptera	Etiella zinckenella	LBCG1400-09	NA
34066	Lepidoptera	Etiella zinckenella	LBCG2636-09	NA
34067	Lepidoptera	Etiella zinckenella	LBCG432-08	NA
34068	Lepidoptera	Etiella zinckenella	LBCG433-08	NA
34069	Lepidoptera	Etiella zinckenella	LBCG435-08	NA
34070	Lepidoptera	Etiella zinckenella	LEASV444-19	NA
34071	Lepidoptera	Etiella zinckenella	LEASW1256-20	NA
34072	Lepidoptera	Etiella zinckenella	LEATA559-13	NA
34073	Lepidoptera	Etiella zinckenella	LEFII307-11	KX049953
34074	Lepidoptera	Etiella zinckenella	LEFIK240-10	KX041525
34075	Lepidoptera	Etiella zinckenella	LEFIL227-10	JF854540
34076	Lepidoptera	Etiella zinckenella	LEFIL228-10	JF854541
34077	Lepidoptera	Etiella zinckenella	LEFIL632-10	KX041577
34078	Lepidoptera	Etiella zinckenella	LMEMB576-09	NA
34079	Lepidoptera	Etiella zinckenella	LOQC700-05	NA
34080	Lepidoptera	Etiella zinckenella	LOQTB502-07	NA
34081	Lepidoptera	Etiella zinckenella	LOQTC270-07	NA
34082	Lepidoptera	Etiella zinckenella	LOQTD639-08	NA
34083	Lepidoptera	Etiella zinckenella	LPMAL283-14	NA
34084	Lepidoptera	Etiella zinckenella	LPMAL284-14	NA
34085	Lepidoptera	Etiella zinckenella	LPSOD303-09	KT140582
34086	Lepidoptera	Etiella zinckenella	LSER371-06	NA
34087	Lepidoptera	Etiella zinckenella	MAMOT3795-13	KX863243
34088	Lepidoptera	Etiella zinckenella	MAMOT738-10	HQ991420
34089	Lepidoptera	Etiella zinckenella	MIMAD341-15	MH415774
34090	Lepidoptera	Etiella zinckenella	MNAA187-07	NA
34091	Lepidoptera	Etiella zinckenella	MPG215-17	NA
34092	Lepidoptera	Etiella zinckenella	MPG298-17	NA
34093	Lepidoptera	Etiella zinckenella	MPG559-17	NA
34094	Lepidoptera	Etiella zinckenella	PHLAC163-10	JF859781
34095	Lepidoptera	Etiella zinckenella	PHLAE156-11	JN276074
34096	Lepidoptera	Etiella zinckenella	PMANL3561-14	NA
34097	Lepidoptera	Etiella zinckenella	SYC4126-14	KX054593
34098	Lepidoptera	Euchloe ausonia	BIBSA1582-16	MN143103
34099	Lepidoptera	Euchloe ausonia	BIBSA2082-19	NA
34100	Lepidoptera	Euchloe ausonia	BIBSA2194-20	NA
34101	Lepidoptera	Euchloe ausonia	BIBSA979-15	MH418932
34102	Lepidoptera	Euchloe ausonia	BIBSA027-14	MH419206
34103	Lepidoptera	Euchloe ausonia	BIBSA1578-16	MN144189
34104	Lepidoptera	Euchloe ausonia	BIBSA1789-16	MN140608
34105	Lepidoptera	Euchloe ausonia	BIBSA028-14	MH418958
34106	Lepidoptera	Euchloe ausonia	BIBSA2292-20	NA
34107	Lepidoptera	Euchloe ausonia	BIBSA1009-15	MN143012
34108	Lepidoptera	Euchloe ausonia	GBGL6356-09	FM196478
34109	Lepidoptera	Euchloe ausonia	GBGL6357-09	FM196477
34110	Lepidoptera	Euchloe ausonia	EULEP1653-15	MW502707
34111	Lepidoptera	Euchloe ausonia	EULEP1715-15	MW500541
34112	Lepidoptera	Euchloe ausonia	EULEP1717-15	MT260480
34113	Lepidoptera	Euchloe ausonia	EULEP1763-15	MW502715
34114	Lepidoptera	Euchloe ausonia	EULEP1773-15	MW500057
34115	Lepidoptera	Euchloe ausonia	EULEP1798-15	MW502852
34116	Lepidoptera	Euchloe ausonia	EULEP2081-15	MW502332
34117	Lepidoptera	Euchloe ausonia	EULEP2261-15	NA
34118	Lepidoptera	Euchloe ausonia	EULEP5135-17	MW499252
34119	Lepidoptera	Euchloe ausonia	EULEP658-15	MW501744
34120	Lepidoptera	Euchloe ausonia	EULEP714-15	MW501620
34121	Lepidoptera	Euchloe ausonia	EZROM180-08	HQ004464
34122	Lepidoptera	Euchloe ausonia	EZROM977-08	HQ004465
34123	Lepidoptera	Euchloe ausonia	EZROM978-08	HQ004466
34124	Lepidoptera	Euchloe ausonia	EZROM979-08	HQ004467
34125	Lepidoptera	Euchloe ausonia	EZROM980-08	HQ004468
34126	Lepidoptera	Euchloe ausonia	EZROM981-08	HQ004469
34127	Lepidoptera	Euchloe ausonia	GBGL34414-19	KJ020239
34128	Lepidoptera	Euchloe ausonia	GBGL5095-08	AM418404
34129	Lepidoptera	Euchloe ausonia	GBGL6310-09	FM196524
34130	Lepidoptera	Euchloe ausonia	GBGL6315-09	FM196519
34131	Lepidoptera	Euchloe ausonia	GBGL6316-09	FM196518
34132	Lepidoptera	Euchloe ausonia	GBGL6318-09	FM196516
34133	Lepidoptera	Euchloe ausonia	GBGL6332-09	FM196502
34134	Lepidoptera	Euchloe ausonia	GBGL6360-09	FM196474
34135	Lepidoptera	Euchloe ausonia	GBGL6361-09	FM196473
34136	Lepidoptera	Euchloe ausonia	GBGL6364-09	FM196470
34137	Lepidoptera	Euchloe ausonia	GBGL6365-09	FM196469
34138	Lepidoptera	Euchloe ausonia	GBGL6371-09	FM196463
34139	Lepidoptera	Euchloe ausonia	GBGL6378-09	FM196456
34140	Lepidoptera	Euchloe ausonia	GBGL6380-09	FM196454
34141	Lepidoptera	Euchloe ausonia	GBGL6388-09	FM196446
34142	Lepidoptera	Euchloe ausonia	GBMNB46821-20	MK559291
34143	Lepidoptera	Euchloe ausonia	GWOSU1012-11	KX071973
34144	Lepidoptera	Euchloe ausonia	LOWA324-06	FJ663547
34145	Lepidoptera	Euchloe ausonia	LOWA325-06	FJ663546
34146	Lepidoptera	Euchloe ausonia	LOWA326-06	FJ663545
34147	Lepidoptera	Euchloe ausonia	LOWA327-06	FJ663544
34148	Lepidoptera	Euchloe ausonia	LOWA791-06	FJ663543
34149	Lepidoptera	Euchloe ausonia	LOWA792-06	FJ663542
34150	Lepidoptera	Euchloe ausonia	OXB1157-15	MH419144
34151	Lepidoptera	Euchloe ausonia	OXB712-15	MN138920
34152	Lepidoptera	Euchloe ausonia	VNMB593-08	NA
34153	Lepidoptera	Euchloe ausonia	VNMB594-08	NA
34154	Lepidoptera	Euchloe ausonia	VNMB595-08	NA
34155	Lepidoptera	Euchloe ausonia	VNMB596-08	NA
34156	Lepidoptera	Euchloe ausonia	WMB018-11	MH419581
34157	Lepidoptera	Euchloe ausonia	WMB1124-13	MH420177
34158	Lepidoptera	Euchloe ausonia	WMB1265-13	MH419368
34159	Lepidoptera	Euchloe ausonia	WMB156-11	MH418553
34160	Lepidoptera	Euchloe ausonia	WMB170-11	MH418801
34161	Lepidoptera	Euchloe ausonia	WMB1903-13	MN138808
34162	Lepidoptera	Euchloe ausonia	WMB2332-13	MH418732
34163	Lepidoptera	Euchloe ausonia	WMB2335-13	MH420086
34164	Lepidoptera	Euchloe ausonia	WMB2444-13	MH419341
34165	Lepidoptera	Euchloe ausonia	WMB2469-13	MN141201
34166	Lepidoptera	Euchloe ausonia	WMB2714-13	MH418741
34167	Lepidoptera	Euchloe ausonia	WMB2715-13	MH420042
34168	Lepidoptera	Euchloe ausonia	WMB2799-13	MH419285
34169	Lepidoptera	Euchloe ausonia	WMB2800-13	MH419082
34170	Lepidoptera	Euchloe ausonia	WMB2860-14	MH418703
34171	Lepidoptera	Euchloe ausonia	WMB2861-14	MH419900
34172	Lepidoptera	Euchloe ausonia	WMB2887-14	MH418885
34173	Lepidoptera	Euchloe ausonia	WMB3844-14	MH420070
34174	Lepidoptera	Euchloe ausonia	WMB3878-14	MH418764
34175	Lepidoptera	Euchloe ausonia	WMB4132-14	MN145058
34176	Lepidoptera	Euchloe ausonia	WMB4665-14	MN139543
34177	Lepidoptera	Euchloe ausonia	WMB4736-14	MH420264
34178	Lepidoptera	Euchloe ausonia	WMB4761-14	MN140199
34179	Lepidoptera	Euchloe ausonia	WMB4782-14	MN143388
34180	Lepidoptera	Euchloe ausonia	WMB4807-14	MH418755
34181	Lepidoptera	Euchloe ausonia	WMB4815-14	MH419961
34182	Lepidoptera	Euchloe ausonia	WMB4831-14	MH420279
34183	Lepidoptera	Euchloe ausonia	WMB484-11	MN141144
34184	Lepidoptera	Euchloe ausonia	WMB4845-14	MH420206
34185	Lepidoptera	Euchloe ausonia	WMB5969-17	MH419647
34186	Lepidoptera	Euchloe ausonia	WMB5970-17	MH420238
34187	Lepidoptera	Euchloe simplonia	BIBSA220-15	MN143599
34188	Lepidoptera	Euchloe simplonia	EULEP2845-15	MN144286
34189	Lepidoptera	Euchloe simplonia	EULEP4005-16	MW500771
34190	Lepidoptera	Euchloe simplonia	EZSPC883-10	HM901723
34191	Lepidoptera	Euchloe simplonia	EZSPM007-09	GU675955
34192	Lepidoptera	Euchloe simplonia	EZSPM008-09	GU675956
34193	Lepidoptera	Euchloe simplonia	EZSPN034-09	JF847983
34194	Lepidoptera	Euchloe simplonia	GBGL6336-09	FM196498
34195	Lepidoptera	Euchloe simplonia	GBGL6337-09	FM196497
34196	Lepidoptera	Euchloe simplonia	GBGL6353-09	FM196481
34197	Lepidoptera	Euchloe simplonia	GBGL6377-09	FM196457
34198	Lepidoptera	Euchloe simplonia	GWOSU1009-11	KX071573
34199	Lepidoptera	Euchloe simplonia	LEPAA860-16	MK186382
34200	Lepidoptera	Euchloe simplonia	LEPAA871-16	MK186383
34201	Lepidoptera	Euxoa declarata	CMAZA1015-12	MF920616
34202	Lepidoptera	Euxoa declarata	LBCH1624-10	HM863313
34203	Lepidoptera	Euxoa declarata	LBCH6789-10	HM868931
34204	Lepidoptera	Euxoa declarata	LBCH6842-10	HM868990
34205	Lepidoptera	Euxoa declarata	LBCH7544-10	HM869756
34206	Lepidoptera	Euxoa declarata	LBCH7962-10	HM870214
34207	Lepidoptera	Euxoa declarata	LOWCE730-06	KJ383560
34208	Lepidoptera	Euxoa declarata	LOWCE731-06	KJ392094
34209	Lepidoptera	Euxoa declarata	LOWCE733-06	KJ390347
34210	Lepidoptera	Euxoa declarata	LOWCE735-06	KJ390227
34211	Lepidoptera	Euxoa declarata	LOWCE737-06	KJ386108
34212	Lepidoptera	Euxoa declarata	LOWCE738-06	KJ385228
34213	Lepidoptera	Euxoa rockburnei	CNCLA545-13	MF920689
34214	Lepidoptera	Euxoa rockburnei	JMMMB376-11	JN301579
34215	Lepidoptera	Euxoa rockburnei	JMMMB382-11	JN301584
34216	Lepidoptera	Euxoa rockburnei	LBCH7132-10	HM869305
34217	Lepidoptera	Euxoa rockburnei	LPVIC049-08	KJ387549
34218	Lepidoptera	Euxoa rockburnei	RDNMF688-08	KJ385682
34219	Lepidoptera	Euxoa rockburnei	RDNMF689-08	KJ392279
34220	Lepidoptera	Euxoa rockburnei	RDNMF690-08	KJ381570
34221	Lepidoptera	Euxoa rockburnei	RDNMF691-08	KJ383258
34222	Lepidoptera	Euxoa rockburnei	RDNMF692-08	KJ383091
34223	Lepidoptera	Euxoa rockburnei	RDNMJ717-11	JN284269
34224	Lepidoptera	Gnathothlibus eras	ANICC067-08	JX438280
34225	Lepidoptera	Gnathothlibus eras	ANICC088-08	JX438277
34226	Lepidoptera	Gnathothlibus eras	ANICC089-08	JX438292
34227	Lepidoptera	Gnathothlibus eras	ANICC090-08	JX438279
34228	Lepidoptera	Gnathothlibus eras	ANICC084-08	NA
34229	Lepidoptera	Gnathothlibus eras	ANICC086-08	NA
34230	Lepidoptera	Gnathothlibus eras	GWOR1827-07	KJ169055
34231	Lepidoptera	Gnathothlibus eras	GWOR1833-07	KJ168752
34232	Lepidoptera	Gnathothlibus eras	GWOR1834-07	KJ168636
34233	Lepidoptera	Gnathothlibus eras	GWORD036-07	KJ169276
34234	Lepidoptera	Gnathothlibus eras	GWORD037-07	KJ169025
34235	Lepidoptera	Gnathothlibus eras	GWORD038-07	KJ169198
34236	Lepidoptera	Gnathothlibus eras	LOQB001-05	KJ169386
34237	Lepidoptera	Gnathothlibus eras	LOQB298-05	KJ169357
34238	Lepidoptera	Gnathothlibus eras	LOQB299-05	KJ168879
34239	Lepidoptera	Gnathothlibus eras	LOQTB079-07	JX438290
34240	Lepidoptera	Gnathothlibus eras	LOQTB138-07	JX438282
34241	Lepidoptera	Gnathothlibus eras	LOQTB140-07	JX438293
34242	Lepidoptera	Gnathothlibus eras	LOQTB141-07	KJ168895
34243	Lepidoptera	Gnathothlibus eras	LOQTD850-09	KJ169235
34244	Lepidoptera	Gnathothlibus eras	LOQTE814-10	HQ572356
34245	Lepidoptera	Gnathothlibus eras	LOQTI636-12	KJ168622
34246	Lepidoptera	Gnathothlibus eras	LTOL251-07	KJ168973
34247	Lepidoptera	Gnathothlibus eras	SOWB408-06	JX438287
34248	Lepidoptera	Gnathothlibus eras	SOWB409-06	JX438285
34249	Lepidoptera	Gnathothlibus eras	SOWB410-06	JX438291
34250	Lepidoptera	Gnathothlibus eras	SOWB422-06	JX438289
34251	Lepidoptera	Gnathothlibus eras	SOWB423-06	HM384048
34252	Lepidoptera	Gnathothlibus eras	SOWB424-06	JX438278
34253	Lepidoptera	Gnathothlibus eras	SOWB425-06	JX438284
34254	Lepidoptera	Gnathothlibus eras	SOWE582-07	HM384195
34255	Lepidoptera	Gnathothlibus eras	SPHJT004-09	HM384231
34256	Lepidoptera	Gnathothlibus eras	SPHJT009-09	HM384235
34257	Lepidoptera	Gnathothlibus eras	SPHJT105-10	HQ975025
34258	Lepidoptera	Gnathothlibus eras	SPHJT106-10	HQ975026
34259	Lepidoptera	Gnathothlibus eras	SPHJT107-10	HQ975027
34260	Lepidoptera	Gnathothlibus eras	SPHJT108-10	HQ975028
34261	Lepidoptera	Gnathothlibus eras	SPHJT109-10	HQ975029
34262	Lepidoptera	Gnathothlibus eras	SPHJT110-10	HQ975030
34263	Lepidoptera	Gnathothlibus eras	SPHYE209-09	GU703969
34264	Lepidoptera	Gnathothlibus eras	SYC1916-14	KX053284
34265	Lepidoptera	Gnathothlibus eras	SYC4149-14	KX053282
34266	Lepidoptera	Gnathothlibus eras	SYC4435-14	KX053283
34267	Lepidoptera	Gnathothlibus eras	SYC4441-14	KX053280
34268	Lepidoptera	Gnathothlibus eras	SYC4445-14	KX053281
34269	Lepidoptera	Gnathothlibus eras	WALPD270-15	NA
34270	Lepidoptera	Heliconius charithonia	BBLOB543-11	NA
34271	Lepidoptera	Heliconius charithonia	BBLOB545-11	NA
34272	Lepidoptera	Heliconius charithonia	BCIBT1843-14	NA
34273	Lepidoptera	Heliconius charithonia	BBLOB541-11	NA
34274	Lepidoptera	Heliconius charithonia	GBGL18933-15	KP074772
34275	Lepidoptera	Heliconius charithonia	GBLN5621-15	KM012962
34276	Lepidoptera	Heliconius charithonia	LTOLB200-09	KF491781
34277	Lepidoptera	Heliconius charithonia	LYPAP812-09	GU659492
34278	Lepidoptera	Heliconius charithonia	LYPAP813-09	GU659493
34279	Lepidoptera	Heliconius charithonia	LYPAP814-09	GU659494
34280	Lepidoptera	Heliconius charithonia	LYPAP815-09	GU659495
34281	Lepidoptera	Heliconius charithonia	LYPAP816-09	GU659488
34282	Lepidoptera	Heliconius charithonia	LYPAP817-09	GU659489
34283	Lepidoptera	Heliconius charithonia	LYPAP818-09	GU659490
34284	Lepidoptera	Heliconius charithonia	LYPAP819-09	GU659491
34285	Lepidoptera	Heliconius charithonia	LYPAP820-09	GU659484
34286	Lepidoptera	Heliconius charithonia	LYPAP821-09	GU659485
34287	Lepidoptera	Heliconius charithonia	LYPAP822-09	GU659486
34288	Lepidoptera	Heliconius charithonia	LYPAP823-09	GU659487
34289	Lepidoptera	Heliconius charithonia	LYPAP824-09	GU659480
34290	Lepidoptera	Heliconius charithonia	TAMIC006-10	HQ977511
34291	Lepidoptera	Heliconius charithonia	TAMIC007-10	HQ977512
34292	Lepidoptera	Heliconius cydno	BCIBT097-09	HM416453
34293	Lepidoptera	Heliconius cydno	BCIBT1202-13	KP848937
34294	Lepidoptera	Heliconius cydno	BCIBT1204-13	KP848933
34295	Lepidoptera	Heliconius cydno	BCIBT1207-13	KP848934
34296	Lepidoptera	Heliconius cydno	BCIBT1233-13	KP848935
34297	Lepidoptera	Heliconius cydno	BCIBT1242-13	KP848936
34298	Lepidoptera	Heliconius cydno	BCIBT142-09	HM416495
34299	Lepidoptera	Heliconius cydno	BCIBT169-09	HM416520
34300	Lepidoptera	Heliconius cydno	BCIBT176-09	HM416526
34301	Lepidoptera	Heliconius cydno	BCIBT183-09	HM416533
34302	Lepidoptera	Heliconius cydno	GBGL18937-15	KP074766
34303	Lepidoptera	Heliconius cydno	GBGL18938-15	KP074767
34304	Lepidoptera	Heliconius cydno	GBGL18939-15	KP074768
34305	Lepidoptera	Heliconius cydno	GBGL18940-15	KP074769
34306	Lepidoptera	Heliconius cydno	GBGL18941-15	KP074770
34307	Lepidoptera	Heliconius cydno	GBGL18942-15	KP074776
34308	Lepidoptera	Heliconius cydno	GBGL18943-15	KP074777
34309	Lepidoptera	Heliconius cydno	GBLN3506-13	JQ913533
34310	Lepidoptera	Heliconius cydno	GBLN3507-13	JQ913532
34311	Lepidoptera	Heliconius cydno	GBLN3508-13	JQ913531
34312	Lepidoptera	Heliconius cydno	GBLN3509-13	JQ913530
34313	Lepidoptera	Heliconius cydno	GBLN3510-13	JQ913529
34314	Lepidoptera	Heliconius cydno	GBLN3511-13	JQ913528
34315	Lepidoptera	Heliconius cydno	GBLN3512-13	JQ913527
34316	Lepidoptera	Heliconius cydno	GBLN3513-13	JQ913526
34317	Lepidoptera	Heliconius cydno	GBLN3514-13	JQ913525
34318	Lepidoptera	Heliconius cydno	GBLN3515-13	JQ913524
34319	Lepidoptera	Heliconius cydno	GBLN3516-13	JQ913523
34320	Lepidoptera	Heliconius cydno	GBLN3517-13	JQ913522
34321	Lepidoptera	Heliconius cydno	GBLN3518-13	JQ913521
34322	Lepidoptera	Heliconius cydno	GBLN3519-13	JQ913520
34323	Lepidoptera	Heliconius cydno	GBLN3520-13	JQ913519
34324	Lepidoptera	Heliconius cydno	GBLN3521-13	JQ913518
34325	Lepidoptera	Heliconius cydno	GBLN3522-13	JQ913517
34326	Lepidoptera	Heliconius cydno	GBLN3525-13	JQ913514
34327	Lepidoptera	Heliconius cydno	GBLN3526-13	JQ913513
34328	Lepidoptera	Heliconius cydno	GBLN3527-13	JQ913512
34329	Lepidoptera	Heliconius cydno	GBLN3542-13	JQ913497
34330	Lepidoptera	Heliconius cydno	GBLN3543-13	JQ913496
34331	Lepidoptera	Heliconius cydno	GBLN3544-13	JQ913495
34332	Lepidoptera	Heliconius cydno	GBLN3545-13	JQ913494
34333	Lepidoptera	Heliconius cydno	GBLN3546-13	JQ913493
34334	Lepidoptera	Heliconius cydno	GBLN3547-13	JQ913492
34335	Lepidoptera	Heliconius cydno	GBLN3548-13	JQ913491
34336	Lepidoptera	Heliconius cydno	GBLN3549-13	JQ913490
34337	Lepidoptera	Heliconius cydno	GBLN3550-13	JQ913489
34338	Lepidoptera	Heliconius cydno	GBLN3523-13	JQ913516
34339	Lepidoptera	Heliconius cydno	GBLN3524-13	JQ913515
34340	Lepidoptera	Heliconius cydno	GBLN3528-13	JQ913511
34341	Lepidoptera	Heliconius cydno	GBLN3529-13	JQ913510
34342	Lepidoptera	Heliconius cydno	GBLN3530-13	JQ913509
34343	Lepidoptera	Heliconius cydno	GBLN3531-13	JQ913508
34344	Lepidoptera	Heliconius cydno	GBLN3532-13	JQ913507
34345	Lepidoptera	Heliconius cydno	GBLN3533-13	JQ913506
34346	Lepidoptera	Heliconius cydno	GBLN3534-13	JQ913505
34347	Lepidoptera	Heliconius cydno	GBLN3535-13	JQ913504
34348	Lepidoptera	Heliconius cydno	GBLN3536-13	JQ913503
34349	Lepidoptera	Heliconius cydno	GBLN3537-13	JQ913502
34350	Lepidoptera	Heliconius cydno	GBLN3538-13	JQ913501
34351	Lepidoptera	Heliconius cydno	GBLN3539-13	JQ913500
34352	Lepidoptera	Heliconius cydno	GBLN3540-13	JQ913499
34353	Lepidoptera	Heliconius cydno	GBLN3541-13	JQ913498
34354	Lepidoptera	Heliconius cydno	GBLN3551-13	JQ913488
34355	Lepidoptera	Heliconius cydno	GBLN3552-13	JQ913487
34356	Lepidoptera	Heliconius cydno	GBLN3553-13	JQ913486
34357	Lepidoptera	Heliconius cydno	GBLN3554-13	JQ913485
34358	Lepidoptera	Heliconius cydno	GBLN3555-13	JQ913484
34359	Lepidoptera	Heliconius cydno	GBLN3556-13	JQ913483
34360	Lepidoptera	Heliconius cydno	GBLN3557-13	JQ913482
34361	Lepidoptera	Heliconius cydno	GBLN3558-13	JQ913481
34362	Lepidoptera	Heliconius cydno	GBLN3559-13	JQ913480
34363	Lepidoptera	Heliconius cydno	GBLN3560-13	JQ913479
34364	Lepidoptera	Heliconius cydno	GBLN3561-13	JQ913478
34365	Lepidoptera	Heliconius cydno	GBLN3562-13	JQ913477
34366	Lepidoptera	Heliconius cydno	GBLN3563-13	JQ913476
34367	Lepidoptera	Heliconius cydno	GBLN4757-14	KJ174776
34368	Lepidoptera	Heliconius cydno	GBLN4758-14	KJ174777
34369	Lepidoptera	Heliconius cydno	GBLN4759-14	KJ174778
34370	Lepidoptera	Heliconius cydno	GBLN4760-14	KJ174779
34371	Lepidoptera	Heliconius cydno	GBLN4761-14	KJ174780
34372	Lepidoptera	Heliconius cydno	GBLN4762-14	KJ174781
34373	Lepidoptera	Heliconius cydno	GBLN4763-14	KJ174782
34374	Lepidoptera	Heliconius cydno	GBLN4764-14	KJ174783
34375	Lepidoptera	Heliconius cydno	GBLN4765-14	KJ174784
34376	Lepidoptera	Heliconius cydno	GBLN4766-14	KJ174785
34377	Lepidoptera	Heliconius cydno	GBLN4767-14	KJ174786
34378	Lepidoptera	Heliconius cydno	GBLN4768-14	KJ174787
34379	Lepidoptera	Heliconius cydno	GBLN4769-14	KJ174788
34380	Lepidoptera	Heliconius cydno	GBLN4770-14	KJ174789
34381	Lepidoptera	Heliconius cydno	GBLN4771-14	KJ174790
34382	Lepidoptera	Heliconius cydno	GBLN4773-14	KJ174792
34383	Lepidoptera	Heliconius cydno	GBLN4774-14	KJ174793
34384	Lepidoptera	Heliconius cydno	GBLN4775-14	KJ174794
34385	Lepidoptera	Heliconius cydno	GBLN4789-14	KJ174704
34386	Lepidoptera	Heliconius cydno	GBLN4790-14	KJ174705
34387	Lepidoptera	Heliconius cydno	GBLN4791-14	KJ174706
34388	Lepidoptera	Heliconius cydno	GBLN4792-14	KJ174707
34389	Lepidoptera	Heliconius cydno	GBLN4793-14	KJ174768
34390	Lepidoptera	Heliconius cydno	GBLN4772-14	KJ174791
34391	Lepidoptera	Heliconius cydno	GBLN4776-14	KJ174759
34392	Lepidoptera	Heliconius cydno	GBLN4777-14	KJ174760
34393	Lepidoptera	Heliconius cydno	GBLN4778-14	KJ174761
34394	Lepidoptera	Heliconius cydno	GBLN4779-14	KJ174762
34395	Lepidoptera	Heliconius cydno	GBLN4780-14	KJ174763
34396	Lepidoptera	Heliconius cydno	GBLN4781-14	KJ174764
34397	Lepidoptera	Heliconius cydno	GBLN4782-14	KJ174765
34398	Lepidoptera	Heliconius cydno	GBLN4783-14	KJ174766
34399	Lepidoptera	Heliconius cydno	GBLN4784-14	KJ174767
34400	Lepidoptera	Heliconius cydno	GBLN4785-14	KJ174700
34401	Lepidoptera	Heliconius cydno	GBLN4786-14	KJ174701
34402	Lepidoptera	Heliconius cydno	GBLN4787-14	KJ174702
34403	Lepidoptera	Heliconius cydno	GBLN4788-14	KJ174703
34404	Lepidoptera	Heliconius cydno	GBLN4794-14	KJ174769
34405	Lepidoptera	Heliconius cydno	GBLN4795-14	KJ174770
34406	Lepidoptera	Heliconius cydno	GBLN4796-14	KJ174771
34407	Lepidoptera	Heliconius cydno	GBLN4797-14	KJ174772
34408	Lepidoptera	Heliconius cydno	GBLN4798-14	KJ174773
34409	Lepidoptera	Heliconius cydno	GBLN4799-14	KJ174774
34410	Lepidoptera	Heliconius cydno	GBLN4800-14	KJ174775
34411	Lepidoptera	Heliconius cydno	GBLN4801-14	KJ174715
34412	Lepidoptera	Heliconius cydno	GBLN4802-14	KJ174716
34413	Lepidoptera	Heliconius cydno	GBLN4803-14	KJ174717
34414	Lepidoptera	Heliconius cydno	GBLN4804-14	KJ174718
34415	Lepidoptera	Heliconius cydno	GBLN4805-14	KJ174719
34416	Lepidoptera	Heliconius cydno	GBLN4806-14	KJ174720
34417	Lepidoptera	Heliconius cydno	GBLN4807-14	KJ174721
34418	Lepidoptera	Heliconius cydno	GBLN4808-14	KJ174722
34419	Lepidoptera	Heliconius cydno	GBLN4809-14	KJ174723
34420	Lepidoptera	Heliconius cydno	GBLN4810-14	KJ174724
34421	Lepidoptera	Heliconius cydno	GBLN4811-14	KJ174725
34422	Lepidoptera	Heliconius cydno	GBLN4812-14	KJ174726
34423	Lepidoptera	Heliconius cydno	GBLN4813-14	KJ174727
34424	Lepidoptera	Heliconius cydno	GBLN4814-14	KJ174728
34425	Lepidoptera	Heliconius cydno	GBLN4815-14	KJ174729
34426	Lepidoptera	Heliconius cydno	GBLN4816-14	KJ174730
34427	Lepidoptera	Heliconius cydno	GBLN4817-14	KJ174708
34428	Lepidoptera	Heliconius cydno	GBLN4818-14	KJ174709
34429	Lepidoptera	Heliconius cydno	GBLN4819-14	KJ174710
34430	Lepidoptera	Heliconius cydno	GBLN4820-14	KJ174711
34431	Lepidoptera	Heliconius cydno	GBLN4821-14	KJ174712
34432	Lepidoptera	Heliconius cydno	GBLN4822-14	KJ174713
34433	Lepidoptera	Heliconius cydno	GBLN4823-14	KJ174714
34434	Lepidoptera	Heliconius cydno	GBLN4824-14	KJ174731
34435	Lepidoptera	Heliconius cydno	GBLN4825-14	KJ174732
34436	Lepidoptera	Heliconius cydno	GBLN4826-14	KJ174733
34437	Lepidoptera	Heliconius cydno	GBLN4827-14	KJ174734
34438	Lepidoptera	Heliconius cydno	GBLN4828-14	KJ174735
34439	Lepidoptera	Heliconius cydno	GBLN4829-14	KJ174736
34440	Lepidoptera	Heliconius cydno	GBLN4830-14	KJ174737
34441	Lepidoptera	Heliconius cydno	GBLN4831-14	KJ174738
34442	Lepidoptera	Heliconius cydno	GBLN4832-14	KJ174739
34443	Lepidoptera	Heliconius cydno	GBLN4833-14	KJ174740
34444	Lepidoptera	Heliconius cydno	GBLN4837-14	KJ174807
34445	Lepidoptera	Heliconius cydno	GBLN4838-14	KJ174808
34446	Lepidoptera	Heliconius cydno	GBLN4839-14	KJ174809
34447	Lepidoptera	Heliconius cydno	GBLN4840-14	KJ174810
34448	Lepidoptera	Heliconius cydno	GBLN4841-14	KJ174795
34449	Lepidoptera	Heliconius cydno	GBLN4842-14	KJ174796
34450	Lepidoptera	Heliconius cydno	GBLN4843-14	KJ174797
34451	Lepidoptera	Heliconius cydno	GBLN4844-14	KJ174798
34452	Lepidoptera	Heliconius cydno	GBLN4845-14	KJ174799
34453	Lepidoptera	Heliconius cydno	GBLN4853-14	KJ174744
34454	Lepidoptera	Heliconius cydno	GBLN4834-14	KJ174804
34455	Lepidoptera	Heliconius cydno	GBLN4835-14	KJ174805
34456	Lepidoptera	Heliconius cydno	GBLN4836-14	KJ174806
34457	Lepidoptera	Heliconius cydno	GBLN4846-14	KJ174800
34458	Lepidoptera	Heliconius cydno	GBLN4847-14	KJ174801
34459	Lepidoptera	Heliconius cydno	GBLN4848-14	KJ174802
34460	Lepidoptera	Heliconius cydno	GBLN4849-14	KJ174803
34461	Lepidoptera	Heliconius cydno	GBLN4850-14	KJ174741
