Male	Female	Sexual	TandemAttempt	Tandem	Mating	Oviposition	Hybrid	RI
Sympetrum striolatum	Sympetrum vulgatum	N	N	x	N	N	N	3
Sympetrum vulgatum	Sympetrum striolatum	N	N	x	N	x	N	5
Sympetrum vulgatum	Sympetrum danae	N	N	N	N	x	N	5
Sympetrum kunckeli	Sympetrum eroticum	N	N	N	N	N	x	6
Trigomphus interruptus	Trigomphus ogumai	N	N	x	N	N	N	3
Anax imperator	Aeshna juncea	N	N	N	x	N	N	4
Argia emma	Enallagma carunculatum	N	x	N	N	N	N	2
Argia sedula	Enallagma basidens	N	N	x	N	N	N	3
Coenagrion puella	Enallagma cyathigerum	N	N	x	x	N	N	4
Cordulia aenea	Epitheca bimaculata	N	N	N	x	N	N	4
Cordulia aenea	Somatochlora flavomaculata	x	N	N	x	N	N	4
Cordulia shurtleffii	Leucorrhinia glaciallis	x	N	N	N	N	N	1
Crocothemis erythraea	Trithemis annulata	N	x	N	N	N	N	2
Diplacodes lefebvrii	Trithemis arteriosa	N	N	x	N	N	N	3
Dorocordulia libera	Epitheca canis	x	N	N	N	N	N	1
Dromogomphus spinosus	Stylurus plagiatus	N	N	x	N	N	N	3
Enallagma basidens	Argia apicalis	N	N	x	N	N	N	3
Enallagma carunculatum	Argia emma	x	N	N	N	N	N	1
Enallagma carunculatum	Ischnura cervula	x	N	N	N	N	N	1
Enallagma carunculatum	Ischnura perparva	N	N	x	N	N	N	3
Enallagma civile	Argia moesta	N	N	x	x	N	N	4
Enallagma civile	Argia vivida	N	N	x	N	N	N	3
Enallagma cyathigerum	Coenagrion puella	N	x	N	N	N	N	2
Enallagma cyathigerum	Ischnura denticolis	N	x	N	N	N	N	2
Enallagma cyathigerum	Telebasis salva	N	x	N	N	N	N	2
Enallagma hageni	Ischnura cervula	N	N	x	N	N	N	3
Gomphus crassus	Ophiogomphus rupinsulensis	N	N	x	N	N	N	3
Stylurus plagiatus	Dromogomphus armatus	N	N	x	N	N	N	3
Hetaerina americana	Calopteryx maculata	N	x	x	x	N	N	4
Ischnura aurora	Xanthocnemis zealandica	N	N	x	N	N	N	3
Ischnura elegans	Coenagrion pulchellum	N	N	x	N	N	N	3
Ischnura elegans	Coenagrion puella	N	N	N	x	N	N	4
Ischnura elegans	Enallagma cyathigerum	N	N	N	x	N	N	4
Ischnura elegans	Erythromma lindenii	N	N	x	N	N	N	3
Ischnura elegans	Erythromma najas	N	N	x	N	N	N	3
Ischnura elegans	Pyrrhosoma nymphula	N	N	N	x	N	N	4
Ischnura perparva	Enallagma anna	N	N	x	N	N	N	3
Ischnura pumilio	Coenagrion puella	N	N	N	x	N	N	4
Ischnura pumilio	Enallagma cyathigerum	N	N	N	x	N	N	4
Lestes sponsa	Sympecma paedisca	N	N	x	N	N	N	3
Lestes sponsa	Chalcolestes viridis	N	N	x	N	N	N	3
Chalcolestes viridis	Sympecma fusca	N	x	N	N	N	N	2
Leucorrhinia dubia	Sympetrum danae	N	x	N	N	N	N	2
Leucorrhinia proxima	Sympetrum pallipes	N	N	x	N	N	N	3
Libellula luctuosa	Tramea carolina	N	N	x	N	N	N	3
Libellula semifasciata	Celithemis eponina	N	N	x	N	N	N	3
Ophiogomphus carolus	Phanogomphus lividus	N	N	x	N	N	N	3
Pyrrhosoma nymphula	Coenagrion lunulatum	N	N	x	N	N	N	3
Pyrrhosoma nymphula	Coenagrion mercuriale	N	N	x	N	N	N	3
Pyrrhosoma nymphula	Coenagrion puella	N	x	N	N	N	N	2
Pyrrhosoma nymphula	Ischnura elegans	N	N	x	N	N	N	3
Sympetrum depressiusculum	Crocothemis erythraea	N	N	x	N	N	N	3
Sympetrum depressiusculum	Orthetrum cancellatum	x	N	N	N	N	N	1
Sympetrum frequens	Pantala flavescens	N	N	x	N	N	N	3
Davidius moiwanus	Gomphus chichibui	N	N	N	x	N	N	4
Phanogomphus graslinellus	Gomphus lividus	N	N	N	N	N	x	6
Gomphus crassus	Gomphurus vastus	N	N	x	N	N	N	3
Lestes sponsa	Chalcolestes viridis	N	N	x	N	x	N	5
Chalcolestes viridis	Lestes sponsa	N	N	x	N	N	N	3
Leucorrhinia dubia	Sympetrum frequens	N	N	N	x	N	N	4
Lestes barbarus	Chalcolestes viridis	N	N	x	N	x	N	5
Chalcolestes viridis	Lestes barbarus	x	N	N	N	N	N	1
Lestes disjunctus	Chalcolestes viridis	N	N	x	N	N	N	3
Lestes virens	Chalcolestes viridis	x	N	N	N	N	N	1
Chalcolestes viridis	Lestes virens	N	N	x	N	N	N	3
Chalcolestes viridis	Lestes dryas	N	N	x	N	N	N	3
Aeshna cyanea	Cordulegaster boltonii	N	N	x	N	N	N	3
Aeshna cyanea	Sympetrum striolatum	N	N	x	N	N	N	3
Anax imperator	Cordulegaster boltonii	N	N	N	x	N	N	4
Argia tibialis	Lestes dryas	N	N	x	N	N	N	3
Brachytron pratense	Libellula quadrimaculata	N	N	x	N	N	N	3
Calopteryx splendens	Platycnemis pennipes	N	N	x	N	N	N	3
Calopteryx virgo	Pyrrhosoma nymphula	N	N	N	N	N	N	-1
Coenagrion ornatum	Platycnemis pennipes	N	N	x	N	N	N	3
Copera marginipes	Ceriagrion cerinorubellum	N	N	N	x	N	N	4
Cordulegaster boltonii	Somatochlora metallica	N	N	x	N	N	N	3
Deielia phaon	Orthetrum albistylum	N	N	N	x	N	N	4
Elattoneura glauca	Allocnemis leucosticta	N	N	x	N	N	N	3
Enallagma cyathigerum	Lestes dryas	N	N	x	N	N	N	3
Enallagma cyathigerum	Chalcolestes viridis	N	N	x	N	N	N	3
Hetaerina americana	Argia plana	N	N	x	N	N	N	3
Indolestes peregrinus	Cercion hieroglyhicum	x	N	N	N	N	N	1
Ischnura elegans	Calopteryx splendens	N	N	N	x	N	N	4
Ischnura elegans	Chalcolestes viridis	N	N	x	N	N	N	3
Ischnura elegans	Lestes sponsa	N	N	x	N	N	N	3
Ischnura elegans	Sympecma fusca	N	N	N	x	N	N	4
Ischnura erratica	Lestes disjunctus	N	N	x	N	N	N	3
Lestes australis	Enallagma cyathigerum	N	N	x	N	N	N	3
Lestes disjunctus	Enallagma cyathigerum	N	N	x	N	N	N	3
Lestes sponsa	Ceriagrion tenellum	N	N	x	N	N	N	3
Lestes sponsa	Erythromma najas	N	N	x	N	N	N	3
Lestes sponsa	Enallagma cyathigerum	N	N	x	N	N	N	3
Chalcolestes viridis	Erythromma viridulum	N	N	x	N	N	N	3
Leucorrhinia dubia	Sympetrum danae	N	N	x	N	N	N	3
Orthetrum brunneum	Onychogomphus forcipatus	N	x	N	N	N	N	2
Platycnemis pennipes	Coenagrion puella	N	x	N	N	N	N	2
Pyrrhosoma nymphula	Lestes barbarus	N	x	N	N	N	N	2
Pyrrhosoma nymphula	Sympecma fusca	N	N	x	N	N	N	3
Pyrrhosoma nymphula	Ischnura pumilio	N	N	x	N	N	N	3
Sympetrum depressiusculum	Crocothemis erythraea	N	N	x	N	N	N	3
Sympetrum depressiusculum	Orthetrum cancellatum	N	N	x	N	N	N	3
Sympetrum depressiusculum	Orthetrum albistylum	N	N	x	N	N	N	3
Sympetrum depressiusculum	Libellula fulva	N	N	x	N	N	N	3
Sympetrum depressiusculum	Onychogomphus uncatus	N	N	x	N	N	N	3
Sympetrum depressiusculum	Oxygastra curtisii	N	N	x	N	N	N	3
Sympetrum sanguineum	Crocothemis erythraea	N	N	x	N	N	N	3
