../../01_Consensus/results/Diptera/02_Species_Fastas/Aedes_brelandi.fasta:>gi|1318842612|gb|MG242473.1| Ochlerotatus brelandi cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058016|gb|KT748708.1| Encarsia gennaroi isolate EPCI2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058014|gb|KT748707.1| Encarsia gennaroi isolate EPCI1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058012|gb|KT748706.1| Encarsia gennaroi isolate EPIT2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058010|gb|KT748705.1| Encarsia gennaroi isolate EPIT1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058008|gb|KT748704.1| Encarsia gennaroi isolate EPTXW4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058006|gb|KT748703.1| Encarsia gennaroi isolate EPTXW3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058004|gb|KT748702.1| Encarsia gennaroi isolate EPTXW2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058002|gb|KT748701.1| Encarsia gennaroi isolate EPTXW1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058000|gb|KT748700.1| Encarsia gennaroi isolate EPCAW5 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057998|gb|KT748699.1| Encarsia gennaroi isolate EPCAW4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057996|gb|KT748698.1| Encarsia gennaroi isolate EPCAW3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057994|gb|KT748697.1| Encarsia gennaroi isolate EPCAW2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057992|gb|KT748696.1| Encarsia gennaroi isolate EPCAW1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057990|gb|KT748695.1| Encarsia gennaroi isolate EPCA3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057988|gb|KT748694.1| Encarsia gennaroi isolate EPCA2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060057986|gb|KT748693.1| Encarsia gennaroi isolate EPCA1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058052|gb|KT748726.1| Encarsia suzannae isolate ETTXW5 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058050|gb|KT748725.1| Encarsia suzannae isolate ETTXW4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058048|gb|KT748724.1| Encarsia suzannae isolate ETTXW3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058046|gb|KT748723.1| Encarsia suzannae isolate ETTXW2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058044|gb|KT748722.1| Encarsia suzannae isolate ETTXW1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058042|gb|KT748721.1| Encarsia suzannae isolate ETTX5 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058040|gb|KT748720.1| Encarsia suzannae isolate ETTX4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058038|gb|KT748719.1| Encarsia suzannae isolate ETTX3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058036|gb|KT748718.1| Encarsia suzannae isolate ETTX2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_suzannae.fasta:>gi|1060058034|gb|KT748717.1| Encarsia suzannae isolate ETTX1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Lasius_jensi.fasta:>gi|42559113|gb|AY452150.1| Lasius jensi cytochrome oxidase subunit I (COI) and cytochrome oxidase subunit II (COII) genes, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Lasius_jensi.fasta:>gi|145453080|gb|EF191429.1| Lasius jensi x Lasius meridionalis cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637369|gb|MH143449.1| Enantia jethys voucher HYB-24 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637367|gb|MH143448.1| Enantia jethys voucher HYB-25 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637365|gb|MH143447.1| Enantia jethys voucher HYB-26 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637363|gb|MH143446.1| Enantia jethys voucher HYB-27 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637361|gb|MH143445.1| Enantia jethys voucher HYB-28 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637359|gb|MH143444.1| Enantia jethys voucher HYB-29 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637357|gb|MH143443.1| Enantia jethys voucher HYB-30 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637355|gb|MH143442.1| Enantia jethys voucher HYB-31 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637353|gb|MH143441.1| Enantia jethys voucher HYB-33 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637351|gb|MH143440.1| Enantia jethys voucher HYB-34 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637349|gb|MH143439.1| Enantia jethys voucher HYB-35 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637347|gb|MH143438.1| Enantia jethys voucher HYB-36 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637345|gb|MH143437.1| Enantia jethys voucher HYB-37 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637343|gb|MH143436.1| Enantia jethys voucher HYB-38 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637341|gb|MH143435.1| Enantia jethys voucher HYB-39 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637339|gb|MH143434.1| Enantia jethys voucher HYB-40 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637337|gb|MH143433.1| Enantia jethys voucher HYB-41 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637335|gb|MH143432.1| Enantia jethys voucher HYB-42 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637333|gb|MH143431.1| Enantia jethys voucher HYB-43 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637331|gb|MH143430.1| Enantia jethys voucher HYB-44 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637329|gb|MH143429.1| Enantia jethys voucher HYB-45 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637327|gb|MH143428.1| Enantia jethys voucher HYB-46 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637325|gb|MH143427.1| Enantia jethys voucher HYB-47 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637323|gb|MH143426.1| Enantia jethys voucher HYB-48 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637321|gb|MH143425.1| Enantia jethys voucher HYB-49 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637319|gb|MH143424.1| Enantia jethys voucher HYB-50 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637317|gb|MH143423.1| Enantia jethys voucher HYB-51 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637315|gb|MH143422.1| Enantia jethys voucher HYB-32 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353980|gb|KU146774.1| Enantia jethys voucher JET-94 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353978|gb|KU146773.1| Enantia jethys voucher MAL-05517 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353976|gb|KU146772.1| Enantia jethys voucher MAL-05562 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353974|gb|KU146771.1| Enantia jethys voucher MAL-05570 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353972|gb|KU146770.1| Enantia jethys voucher JET-64 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353970|gb|KU146769.1| Enantia jethys voucher MAL-05547 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353968|gb|KU146768.1| Enantia jethys voucher MAL-05551 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353966|gb|KU146767.1| Enantia jethys voucher MAL-05553 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353964|gb|KU146766.1| Enantia jethys voucher MAL-05507 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353962|gb|KU146765.1| Enantia jethys voucher MAL-05501 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353960|gb|KU146764.1| Enantia jethys voucher MAL-05502 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353958|gb|KU146763.1| Enantia jethys voucher MAL-05561 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353956|gb|KU146762.1| Enantia jethys voucher MAL-05549 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353954|gb|KU146761.1| Enantia jethys voucher JET-62 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353952|gb|KU146760.1| Enantia jethys voucher MAL-05519 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353950|gb|KU146759.1| Enantia jethys voucher MAL-05552 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353948|gb|KU146758.1| Enantia jethys voucher JET-88 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353946|gb|KU146757.1| Enantia jethys voucher MAL-05571 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353944|gb|KU146756.1| Enantia jethys voucher JET-43 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353942|gb|KU146755.1| Enantia jethys voucher MAL-05506 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353940|gb|KU146754.1| Enantia jethys voucher JET-27 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1084353938|gb|KU146753.1| Enantia jethys voucher MAL-05557 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637433|gb|MH143481.1| Enantia mazai voucher HYB-74 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637431|gb|MH143480.1| Enantia mazai voucher HYB-73 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637429|gb|MH143479.1| Enantia mazai voucher HYB-72 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637427|gb|MH143478.1| Enantia mazai voucher HYB-71 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637425|gb|MH143477.1| Enantia mazai voucher HYB-70 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637423|gb|MH143476.1| Enantia mazai voucher HYB-69 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637421|gb|MH143475.1| Enantia mazai voucher HYB-68 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637419|gb|MH143474.1| Enantia mazai voucher HYB-67 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637417|gb|MH143473.1| Enantia mazai voucher HYB-66 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637415|gb|MH143472.1| Enantia mazai voucher HYB-65 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637413|gb|MH143471.1| Enantia mazai voucher HYB-64 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
